54,activityrecognition,still,37
54,android.sensor.accelerometer,-0.8810662,9.548077,1.2641385
104,android.sensor.accelerometer,-0.8810662,9.691729,1.1779473
158,android.sensor.accelerometer,-0.7086837,9.739613,1.0630256
208,android.sensor.accelerometer,-0.9864111,9.442732,1.0151415
258,android.sensor.accelerometer,-0.6512229,9.710882,1.283292
308,android.sensor.accelerometer,-0.5363012,9.586384,1.8004397
358,android.sensor.accelerometer,-1.1971009,9.500193,1.6472107
411,android.sensor.accelerometer,-0.79487497,9.758766,1.7238252
461,android.sensor.game_rotation_vector,0.593958,0.24059,0.191631,0.743375
512,android.sensor.orientation,168.28,-84.58,-7.06
564,android.sensor.orientation,165.04,-86.08,-7.87
620,android.sensor.accelerometer,-0.7757214,10.477027,-0.22026655
668,android.sensor.accelerometer,-1.1971009,9.481039,-1.5610195
718,android.sensor.accelerometer,-1.340753,9.126697,1.7908629
768,android.sensor.accelerometer,-1.1971009,9.921572,1.3120226
839,android.sensor.linear_acceleration,0.0475,0.1117,0.1369
889,android.sensor.geomagnetic_rotation_vector,0.110707,-0.611085,-0.783096,0.032836,0.0
940,android.sensor.game_rotation_vector,0.572603,0.209075,0.167481,0.77483
990,android.sensor.magnetic_field_uncalibrated,128.6875,117.0,191.5625,127.9375,172.0,179.0
1041,android.sensor.magnetic_field_uncalibrated,130.125,114.0625,188.625,127.9375,172.0,179.0
1092,android.sensor.orientation,176.31999,-73.65,-6.5299997
1142,android.sensor.orientation,176.18,-73.2,-6.0699997
1198,android.sensor.accelerometer,-0.8714894,9.509769,2.6527755
1248,android.sensor.accelerometer,-1.1492168,9.3661175,2.1643584
1298,android.sensor.accelerometer,-1.0247183,9.500193,2.0015526
1348,android.sensor.accelerometer,-0.8619126,9.586384,2.0685902
1398,android.sensor.accelerometer,-1.4748282,9.500193,2.719813
1448,android.sensor.accelerometer,-1.4173675,9.203311,4.55856
1498,android.sensor.geomagnetic_rotation_vector,0.093729,-0.504448,-0.858225,0.013986,0.0
1549,android.sensor.rotation_vector,-0.053295,0.53357,0.843326,0.035545,0.0
1601,android.sensor.game_rotation_vector,0.508301,0.143879,0.108383,0.842128
1650,android.sensor.gyroscope,0.16249016,-0.22724187,0.15027285
1701,android.sensor.magnetic_field,5.875,-55.75,5.25
1752,android.sensor.orientation,183.3,-65.68,-5.89
1802,android.sensor.orientation,183.79,-65.27,-6.04
1854,android.sensor.orientation,184.26999,-64.51,-6.2599998
1908,android.sensor.accelerometer,-1.4939818,8.542512,4.367024
1958,android.sensor.accelerometer,-1.3024458,8.724471,4.501099
2008,android.sensor.accelerometer,-1.0726024,8.781932,4.5681367
2058,android.sensor.accelerometer,-1.3024458,8.781932,4.2425256
2108,android.sensor.accelerometer,-1.1204864,8.848969,4.2521024
2158,android.sensor.accelerometer,-1.2641385,8.7532015,4.2904096
2208,android.sensor.accelerometer,-1.3215994,8.66701,4.3766007
2258,android.sensor.geomagnetic_rotation_vector,-0.065252,0.533397,0.842995,0.024239,0.0
2309,android.sensor.rotation_vector,-0.031685,0.528592,0.846424,0.056136,0.0
2360,android.sensor.game_rotation_vector,0.51342,0.128744,0.095695,0.84301
2410,android.sensor.gyroscope,-0.06352998,-0.047647487,0.012217305
2461,android.sensor.gyroscope_uncalibrated,-0.0036651916,0.059864793,-0.0061086523,0.008552114,0.047647487,-0.0036651916
2512,android.sensor.orientation,183.62,-63.94,-6.43
2563,android.sensor.orientation,183.55,-63.829998,-6.3199997
2618,android.sensor.accelerometer,-1.2545617,8.647857,4.309563
2670,android.sensor.accelerometer,-1.1683705,8.7053175,4.2999864
2728,android.sensor.accelerometer,-1.1587936,8.734048,4.31914
2779,android.sensor.gravity,-1.1078,8.7304,4.3269997
2832,android.sensor.magnetic_field_uncalibrated,132.3125,119.1875,181.3125,127.9375,172.0,179.0
2886,android.sensor.orientation,183.22,-63.559998,-6.39
2939,android.sensor.accelerometer,-1.2066777,8.63828,4.606444
2991,android.sensor.game_rotation_vector,0.511027,0.125984,0.093167,0.845161
3041,android.sensor.game_rotation_vector,0.511198,0.126062,0.093549,0.845004
3094,android.sensor.orientation,182.43,-63.62,-6.3199997
3148,android.sensor.accelerometer,-1.1013328,8.724471,4.271256
3198,android.sensor.accelerometer,-1.2545617,8.7053175,4.4436383
3248,android.sensor.accelerometer,-1.1109096,8.714894,4.4723687
3299,android.sensor.geomagnetic_rotation_vector,-0.055131,0.515585,0.85465,0.026564,0.0
3352,android.sensor.gyroscope,0.035430185,0.02443461,0.04153884
3403,android.sensor.orientation,182.04,-63.37,-6.47
3453,android.sensor.orientation,181.98,-63.399998,-6.5499997
3508,android.sensor.accelerometer,-1.2066777,8.714894,4.367024
3558,android.sensor.accelerometer,-0.9959879,8.839393,4.453215
3608,android.sensor.accelerometer,-0.9672575,8.801085,4.3766007
3658,android.sensor.accelerometer,-1.3120226,8.571242,4.2999864
