63,activityrecognition,vehicle,46
63,android.sensor.accelerometer,2.7389667,5.6407394,7.5561004
106,android.sensor.accelerometer,2.566584,5.755661,7.728483
156,android.sensor.accelerometer,2.7964275,5.5737014,7.747637
206,android.sensor.accelerometer,2.3558946,5.707777,7.699753
256,android.sensor.accelerometer,2.8538885,5.544971,7.038953
307,android.sensor.geomagnetic_rotation_vector,0.312187,0.138936,0.692934,0.634883,0.0
358,android.sensor.game_rotation_vector,0.139829,-0.074136,0.260082,0.952527
409,android.sensor.game_rotation_vector,0.14992,-0.068843,0.258631,0.951784
464,android.sensor.orientation,3.9499998,-30.869999,9.09
511,android.sensor.orientation,2.54,-32.149998,8.38
566,android.sensor.accelerometer,2.2984335,5.497087,7.536947
616,android.sensor.accelerometer,1.9536686,5.592855,7.5082164
666,android.sensor.accelerometer,1.5897499,5.650316,7.9391727
716,android.sensor.accelerometer,1.8579005,4.654328,7.2209125
767,android.sensor.accelerometer,2.5570073,4.280833,8.0924015
818,android.sensor.rotation_vector,0.267409,0.012088,0.111275,0.957059,0.0
869,android.sensor.game_rotation_vector,0.110084,-0.060017,0.294273,0.947461
921,android.sensor.orientation,343.28,-23.21,5.44
971,android.sensor.orientation,342.38998,-21.8,7.0099998
1026,android.sensor.accelerometer,2.9592333,2.2026656,8.916007
1076,android.sensor.accelerometer,2.384625,2.882619,8.801085
1127,android.sensor.accelerometer,2.7964275,2.8634653,8.475474
1179,android.sensor.game_rotation_vector,0.126954,-0.083967,0.312724,0.937568
1229,android.sensor.game_rotation_vector,0.132725,-0.081992,0.311378,0.937392
1281,android.sensor.orientation,335.65,-24.609999,8.66
1336,android.sensor.accelerometer,2.4229321,2.9113493,9.11712
1387,android.sensor.accelerometer,2.777274,2.777274,8.781932
1435,android.sensor.orientation,334.33,-23.83,10.01
1487,android.sensor.accelerometer,2.327164,3.1028855,9.088389
1556,android.sensor.accelerometer,2.3175871,3.122039,8.954314
1606,android.sensor.accelerometer,2.6719291,2.930503,9.097966
1656,android.sensor.accelerometer,2.585738,2.930503,9.289502
1707,android.sensor.linear_acceleration,0.71739995,-0.9611,-0.0861
1759,android.sensor.game_rotation_vector,0.164412,-0.076613,0.313117,0.932231
1810,android.sensor.magnetic_field,7.625,-16.5625,-36.6875
1866,android.sensor.accelerometer,2.585738,3.2561142,8.676587
1916,android.sensor.accelerometer,2.4420857,3.4955344,8.130709
1966,android.sensor.accelerometer,3.2369606,3.1603463,8.973468
2016,android.sensor.accelerometer,2.4420857,3.514688,8.7532015
