55,activityrecognition,vehicle,56
55,android.sensor.accelerometer,-0.28242493,0.654953,9.706604
113,android.sensor.accelerometer,-0.37008667,0.7165222,9.815628
163,android.sensor.accelerometer,-0.22598267,0.641449,9.718445
211,android.sensor.accelerometer,-0.32221985,0.6733856,9.805588
260,android.sensor.gravity,-0.8479157,0.8294254,9.734653
311,android.sensor.gyroscope,-0.0501709,-0.16879272,0.40371704
363,android.sensor.gravity,-0.86184615,0.8720157,9.729707
413,android.sensor.gravity,-0.67560416,0.9557138,9.736558
465,android.sensor.accelerometer,-0.9284668,0.93814087,9.362091
517,android.sensor.magnetic_field,-8.926392,-15.068054,-29.818726
566,android.sensor.rotation_vector,0.006654738,-0.036962986,-0.9523226,0.30277234,0.17453292
617,android.sensor.orientation,141.35397,-2.5212028,3.8575919
670,android.sensor.gyroscope,0.8441162,-1.1095276,0.9779358
723,android.sensor.accelerometer,-3.7683105,2.3347626,8.690292
769,android.sensor.magnetic_field_uncalibrated,-80.30853,-98.724365,-83.99658,-61.833984,-88.77106,-60.523987
820,android.sensor.gravity,2.022929,0.5972466,9.577131
871,android.sensor.gravity,2.2525547,0.6112871,9.524847
922,android.sensor.linear_acceleration,1.833438,-2.5575023,-0.28826332
974,android.sensor.gravity,1.7004181,0.29490048,9.653601
1024,android.sensor.gravity,1.6451819,0.2749693,9.663754
1076,android.sensor.gyroscope,-0.05506897,-0.22497559,1.4531708
1126,android.sensor.accelerometer,1.1946106,-1.401413,7.835022
1177,android.sensor.rotation_vector,-0.051756147,-0.060495224,-0.6312996,0.7714418,0.17453292
1226,android.sensor.accelerometer,0.5659332,-0.7272644,10.002457
1279,android.sensor.game_rotation_vector,0.038965862,-0.038304314,0.6969789,0.7150068
1331,android.sensor.accelerometer,0.50871277,0.7295685,9.65918
1382,android.sensor.gyroscope,-0.031845093,-0.1614685,0.11294556
1433,android.sensor.gyroscope,0.010894775,-0.0063323975,0.5503235
1484,android.sensor.orientation,72.58478,-1.1645244,5.1468534
1540,android.sensor.gyroscope,0.012130737,0.015670776,-0.0018920898
1587,android.sensor.game_rotation_vector,0.0384105,-0.023034144,0.7158365,0.6968301
1640,android.sensor.gyroscope,0.0048065186,0.0730896,0.009109497
1691,android.sensor.gyroscope,-0.003753662,-0.014862061,-0.0043182373
1741,android.sensor.accelerometer,0.5630493,0.18585205,9.686707
1796,android.sensor.gravity,0.7682456,0.20098042,9.774446
1842,android.sensor.gyroscope_uncalibrated,0.027420044,0.016357422,-0.020217896,0.0262909,0.012893677,-0.019561768
-1903,sound,87.01968287372055
1952,android.sensor.magnetic_field_uncalibrated,-79.626465,-82.014465,-90.34271,-61.833984,-88.77106,-60.523987
2003,android.sensor.gravity,0.71284187,0.2044494,9.77857
2058,android.sensor.gyroscope,-1.0681152E-4,-0.007537842,5.493164E-4
2106,android.sensor.game_rotation_vector,0.03329384,-0.017319508,0.7162904,0.6967923
2157,android.sensor.game_rotation_vector,0.03267509,-0.01696266,0.71631247,0.69680774
2209,android.sensor.gyroscope,0.0023651123,0.0022277832,-0.0030975342
2260,android.sensor.gyroscope,-0.0013122559,0.0022277832,-0.0018920898
2310,android.sensor.gravity,0.6529356,0.19675897,9.78291
2361,android.sensor.gravity,0.64785105,0.1984883,9.783214
2412,android.sensor.gravity,0.647281,0.21331188,9.78294
2463,android.sensor.rotation_vector,-0.010054038,-0.032852273,-0.5786361,0.8148619,0.17453292
2513,android.sensor.orientation,70.99588,-1.2615502,3.6742916
2566,android.sensor.magnetic_field,-21.032715,4.8812866,-27.6474
2616,android.sensor.rotation_vector,-0.010308296,-0.031855263,-0.5825106,0.81213325,0.17453292
2666,android.sensor.gyroscope_uncalibrated,0.0103302,0.010238647,-0.022659302,0.0262909,0.012893677,-0.019561768
2717,android.sensor.magnetic_field,-17.622375,5.2215576,-25.978088
2768,android.sensor.gyroscope,-0.0098724365,0.0022277832,5.493164E-4
2820,android.sensor.gravity,0.61948985,0.20487526,9.784919
2870,android.sensor.gravity,0.6289779,0.20511766,9.784309
2920,android.sensor.magnetic_field_uncalibrated,-80.9906,-82.014465,-85.33325,-61.833984,-88.77106,-60.523987
2972,android.sensor.gravity,0.62253493,0.18935001,9.785039
3024,android.sensor.rotation_vector,-0.010743193,-0.03120486,-0.5824186,0.81221884,0.17453292
3076,android.sensor.gyroscope,-0.015960693,-0.012420654,5.493164E-4
3127,android.sensor.gyroscope,-0.018432617,-0.0063323975,0.007873535
3181,android.sensor.accelerometer,0.61227417,0.28596497,9.722397
3230,android.sensor.accelerometer,0.5601196,0.14273071,9.499466
3280,android.sensor.game_rotation_vector,0.028459683,-0.016467588,0.7159967,0.6973289
3332,android.sensor.gyroscope,-0.017196655,-0.0050964355,-0.0030975342
3384,android.sensor.light,40.0,0.0,0.0
3432,android.sensor.rotation_vector,-0.014031075,-0.029492429,-0.58157855,0.8128344,0.17453292
3482,android.sensor.accelerometer,0.69247437,0.20220947,9.600281
3537,android.sensor.rotation_vector,-0.013622134,-0.029120296,-0.58088636,0.81334955,0.17453292
3589,android.sensor.gyroscope,-0.0098724365,-2.1362305E-4,0.0042266846
3640,android.sensor.gravity,0.61924523,0.11719806,9.786377
3690,android.sensor.geomagnetic_rotation_vector,-0.01233091,-0.029183716,-0.6165553,0.7866739,0.17453292
3741,android.sensor.magnetic_field,-26.31836,8.462524,-28.149414
3792,android.sensor.gyroscope_uncalibrated,0.012771606,0.016357422,-0.025115967,0.0262909,0.012893677,-0.019561768
3843,android.sensor.game_rotation_vector,0.02527622,-0.019266969,0.71582717,0.6975538
3894,android.sensor.geomagnetic_rotation_vector,-0.013428929,-0.027747761,-0.5620524,0.82652694,0.17453292
3946,android.sensor.gravity,0.6149699,0.07763941,9.787042
3997,android.sensor.gyroscope,-0.008636475,-2.1362305E-4,0.0017852783
4047,android.sensor.gyroscope,-0.0025482178,-2.1362305E-4,0.0017852783
4101,android.sensor.gyroscope,-0.0025482178,-0.02708435,0.007873535
4152,android.sensor.light,23.0,0.0,0.0
4204,android.sensor.accelerometer,0.6104431,0.32247925,9.528183
4256,android.sensor.rotation_vector,-0.016191335,-0.028789693,-0.57450104,0.8178371,0.17453292
4309,android.sensor.gyroscope,0.010894775,-0.0050964355,-0.0043182373
4359,android.sensor.accelerometer,0.68496704,-0.0037231445,9.591644
4410,android.sensor.gyroscope,-1.0681152E-4,-0.016098022,-0.0018920898
4460,android.sensor.gyroscope,0.006011963,-0.0014190674,-0.0043182373
4510,android.sensor.gyroscope,-1.0681152E-4,0.0046691895,-0.0030975342
