63,activityrecognition,unknown,35
63,android.sensor.magnetic_field,-2.331543,-22.329712,-27.48413
114,android.sensor.accelerometer,0.2715149,3.1339417,10.28183
162,android.sensor.accelerometer,-0.1348877,4.251587,7.371643
215,android.sensor.gyroscope,0.23248291,0.1408081,-0.2118988
264,android.sensor.magnetic_field,-3.8665771,-23.524475,-27.650452
315,android.sensor.magnetic_field,-6.2545776,-22.16034,-27.98462
365,android.sensor.orientation,187.52127,-27.31265,13.573778
417,android.sensor.gyroscope,0.098098755,0.091934204,6.5612793E-4
469,android.sensor.accelerometer,1.0177765,3.7877808,8.827026
518,android.sensor.gyroscope,0.03211975,0.4144745,0.2559967
569,android.sensor.gravity,1.9036752,4.2855444,8.612811
619,android.sensor.linear_acceleration,-0.62941456,-0.32623386,-0.055056572
682,android.sensor.linear_acceleration,-0.5591314,-0.41316748,0.12016487
791,android.sensor.linear_acceleration,2.4260004,-1.9841208,-2.750638
844,android.sensor.geomagnetic_rotation_vector,-0.14823522,-0.17282794,-0.9732341,0.031179259,0.17453292
895,android.sensor.gyroscope,0.0040283203,-5.5817413,3.8148956
950,android.sensor.gyroscope,1.2709656,-6.1302795,5.127014
998,android.sensor.game_rotation_vector,0.6164549,-0.39769602,0.6402968,0.22768673
1050,android.sensor.accelerometer,20.267975,-3.4010315,8.526016
1100,android.sensor.accelerometer,20.888336,-0.87197876,4.4222717
1151,android.sensor.rotation_vector,-0.6495672,-0.04901116,-0.57976055,0.48942626,0.17453292
1202,android.sensor.gyroscope,1.5751648,3.6764832,-1.0866547
1254,android.sensor.gravity,7.5243464,-4.6296535,4.256865
1304,android.sensor.gyroscope,-1.2714386,-1.1273346,1.3323364
1354,android.sensor.rotation_vector,-0.5803433,0.05627061,-0.6867423,0.43407404,0.17453292
1406,android.sensor.game_rotation_vector,0.3647145,-0.5299481,0.75671047,0.11630827
1458,android.sensor.magnetic_field,-50.245667,19.102478,-20.97168
1510,android.sensor.magnetic_field,-51.779175,21.31958,-18.800354
1561,android.sensor.orientation,81.634125,87.35245,36.4924
1615,android.sensor.accelerometer,7.0871735,-7.909836,1.3165894
1665,android.sensor.accelerometer,12.187286,-11.01738,0.13613892
1721,android.sensor.gyroscope,0.28746033,-0.14994812,-1.2124939
1771,android.sensor.accelerometer,-3.4524384,-9.27652,-6.0731964
1823,android.sensor.game_rotation_vector,0.2663419,-0.72412366,0.61978805,0.14342137
1879,android.sensor.accelerometer,4.649231,-12.00795,3.498932
1932,android.sensor.gyroscope,0.9203186,3.0106354,3.0561981
1987,android.sensor.rotation_vector,-0.5310941,0.5866531,-0.5615005,0.2418561,0.17453292
2039,android.sensor.gyroscope,-1.9837036,1.8475647,-2.891159
2088,android.sensor.gyroscope,-2.5457,-0.23669434,-1.9259796
2138,android.sensor.gyroscope,-0.8267212,0.0736084,-2.0481567
2189,android.sensor.gyroscope_uncalibrated,-0.23400879,-2.1448517,-0.62008667,0.025833135,0.014816284,-0.01966858
2241,android.sensor.gyroscope_uncalibrated,1.9614258,-1.4484863,-3.3176422,0.025833135,0.014816284,-0.01966858
2293,android.sensor.gyroscope,1.5079803,0.28375244,-3.2234497
2346,android.sensor.gyroscope,0.8800049,0.9532471,-3.1819153
2395,android.sensor.gyroscope,0.86657715,-1.1248779,-5.5948334
2447,android.sensor.game_rotation_vector,0.52278584,-0.62303674,0.41571292,0.4070663
2501,android.sensor.accelerometer,12.739334,0.4008484,-2.7527008
2550,android.sensor.accelerometer,11.402008,1.3553467,-2.9071045
2602,android.sensor.gyroscope_uncalibrated,1.0866699,0.5343628,-0.51867676,0.025833135,0.014816284,-0.01966858
2656,android.sensor.gyroscope,1.0266266,0.028411865,-0.5112152
2703,android.sensor.gyroscope_uncalibrated,1.1452942,-1.0624237,-0.58587646,0.025833135,0.014816284,-0.01966858
2756,android.sensor.linear_acceleration,-0.6565056,-1.5005366,0.5607934
-2808,sound,89.73257612492591
2859,android.sensor.linear_acceleration,-0.13929462,-0.94761896,-0.88566875
2914,android.sensor.gyroscope,-0.5298462,1.1120758,-0.2571106
2965,android.sensor.gyroscope,0.53427124,0.25932312,-0.11416626
3016,android.sensor.linear_acceleration,-0.2254057,0.120330766,1.781148
3067,android.sensor.gravity,9.345759,-0.33027864,-2.9526393
3120,android.sensor.magnetic_field,-61.839294,-11.587524,-0.932312
3169,android.sensor.magnetic_field_uncalibrated,-102.134705,-95.314026,-71.30585,-40.634766,-82.70264,-68.03589
3228,android.sensor.gyroscope,0.44996643,0.3765869,-0.46603394
3282,android.sensor.game_rotation_vector,0.64715964,-0.46137604,0.49862894,0.34595627
3332,android.sensor.gyroscope,1.0217438,0.09437561,-0.3426361
3388,android.sensor.accelerometer,8.899796,-9.1552734E-5,0.6063385
3436,android.sensor.accelerometer,8.412537,-1.1460571,1.0531464
3488,android.sensor.rotation_vector,0.78529364,-0.035687737,0.6178308,0.018038943,0.17453292
3540,android.sensor.rotation_vector,0.7797994,-0.031393137,0.6251754,0.009113483,0.17453292
3600,android.sensor.game_rotation_vector,0.6751974,-0.3804171,0.5606015,0.2917485
3654,android.sensor.gyroscope,1.4468842,0.9874573,0.22546387
3709,android.sensor.accelerometer,7.923279,-0.6117096,-4.721283
3759,android.sensor.orientation,32.486877,144.65282,82.54966
3811,android.sensor.magnetic_field,-59.79309,-20.454407,-4.272461
3863,android.sensor.linear_acceleration,1.8147192,3.2964723,-3.05721
3916,android.sensor.gyroscope,-0.32092285,0.055282593,-0.2925415
3980,android.sensor.linear_acceleration,3.9194937,2.826675,3.0313034
4032,android.sensor.gravity,9.762432,-0.19929473,-0.90861744
4082,android.sensor.gyroscope_uncalibrated,-0.14117432,-2.0984344,-0.0690918,0.025833135,0.014816284,-0.01966858
4134,android.sensor.gravity,9.258073,-0.17410779,-3.2292664
4185,android.sensor.linear_acceleration,0.047849655,0.7330231,8.308043
4238,android.sensor.gyroscope,-0.04727173,-0.78279114,0.014099121
4288,android.sensor.gyroscope,0.08589172,0.27764893,-0.193573
4342,android.sensor.accelerometer,5.3299713,0.18302917,-1.5074005
4392,android.sensor.rotation_vector,0.82567054,-0.061781935,0.55775183,0.058000665,0.17453292
4446,android.sensor.gyroscope_uncalibrated,-0.2376709,0.462265,-0.039764404,0.025833135,0.014816284,-0.01966858
4498,android.sensor.accelerometer,11.257355,0.78263855,3.1658936
4551,android.sensor.gyroscope,0.5721283,1.1499634,0.11427307
4600,android.sensor.game_rotation_vector,0.6925454,-0.36057508,0.54969114,0.29699516
4656,android.sensor.game_rotation_vector,0.6905831,-0.3613749,0.55352646,0.2934477
4707,android.sensor.gyroscope,0.31678772,0.44256592,0.24255371
4760,android.sensor.gyroscope,0.45851135,0.3765869,0.14237976
4811,android.sensor.accelerometer,7.469864,-0.04258728,-0.18226624
4866,android.sensor.gravity,9.725562,-0.18563658,-1.2447311
4918,android.sensor.gyroscope,0.45729065,0.34117126,0.1900177
4974,android.sensor.linear_acceleration,0.21317196,1.3137383,-0.054230154
5026,android.sensor.accelerometer,11.109543,0.7402344,-0.18708801
5078,android.sensor.gravity,9.801252,-0.3248771,-0.017270485
5129,android.sensor.gyroscope,-0.7937317,-0.90374756,-0.6896057
5180,android.sensor.gyroscope,0.7370758,-0.9807129,-0.6321869
5231,android.sensor.gyroscope,0.45973206,-1.3826752,0.14482117
5282,android.sensor.linear_acceleration,-1.1970167,-2.992645,-3.763945
5333,android.sensor.game_rotation_vector,0.7260195,-0.3713453,0.51279217,0.2684075
5386,android.sensor.rotation_vector,0.79820615,-0.14441316,0.57465816,0.108534984,0.17453292
5437,android.sensor.geomagnetic_rotation_vector,0.7301737,-0.09975165,0.6716268,0.07624569,0.17453292
5486,android.sensor.rotation_vector,0.78468657,-0.16401163,0.5870261,0.11299349,0.17453292
5537,android.sensor.gyroscope_uncalibrated,0.56010437,0.8556671,0.29008484,0.025833135,0.014816284,-0.01966858
5588,android.sensor.gyroscope_uncalibrated,-0.6335144,-0.37947083,-0.19491577,0.025833135,0.014816284,-0.01966858
5640,android.sensor.gyroscope,-0.59580994,0.29229736,-0.4537964
5690,android.sensor.rotation_vector,0.7522471,-0.17955975,0.615677,0.15107763,0.17453292
5741,android.sensor.gyroscope_uncalibrated,-0.17904663,-0.16201782,-0.111846924,0.025833135,0.014816284,-0.01966858
5793,android.sensor.game_rotation_vector,0.6571245,-0.3976313,0.5443471,0.33728755
5850,android.sensor.gyroscope,-0.013061523,0.25932312,0.23278809
5902,android.sensor.accelerometer,7.0491333,0.13627625,-1.0204468
5955,android.sensor.rotation_vector,0.73523307,-0.17870612,0.63804287,0.14282063,0.17453292
6009,android.sensor.gyroscope,-0.28671265,0.9398041,0.3085327
6061,android.sensor.gyroscope,-0.07904053,0.20922852,0.31463623
6113,android.sensor.accelerometer,9.881256,1.4520416,-0.36219788
6164,android.sensor.accelerometer,12.037277,2.7769012,1.1981812
6216,android.sensor.rotation_vector,0.674167,-0.2133431,0.68433607,0.17795454,0.17453292
6267,android.sensor.gyroscope,0.5928955,-0.8108978,-0.2949829
6318,android.sensor.gyroscope,0.122543335,-2.214676,-0.022537231
6368,android.sensor.gyroscope,-1.8847504,-2.130371,0.14482117
6429,android.sensor.gyroscope,-2.776596,-0.9697113,0.47712708
6479,android.sensor.linear_acceleration,-3.1116047,2.2113757,5.5522246
6535,android.sensor.accelerometer,6.292801,0.039413452,-1.9916077
6587,android.sensor.linear_acceleration,-3.975134,-1.1828926,3.161142
6640,android.sensor.gyroscope,1.5299683,0.6771393,0.24378967
6694,android.sensor.accelerometer,12.544662,3.9127808,-8.28595
6745,android.sensor.game_rotation_vector,0.58975786,-0.49728832,0.484936,0.41197944
6796,android.sensor.gravity,9.6786175,0.15846439,-1.571506
6848,android.sensor.geomagnetic_rotation_vector,0.69243354,-0.3094989,0.60407484,0.24462174,0.17453292
6900,android.sensor.game_rotation_vector,0.6022457,-0.48574585,0.48437652,0.40832648
6952,android.sensor.gyroscope,0.28381348,-0.18292236,-0.17404175
7004,android.sensor.gyroscope,-0.43577576,0.8811798,0.16069031
7058,android.sensor.gyroscope,1.1829834,1.2696838,0.51989746
7108,android.sensor.rotation_vector,0.68815774,-0.26429683,0.63651246,0.22679949,0.17453292
7158,android.sensor.accelerometer,10.428741,2.2648926,-1.6555328
7209,android.sensor.gravity,9.794072,-0.49226984,-0.06495935
7264,android.sensor.magnetic_field,-57.235718,-16.873169,-14.123535
7311,android.sensor.gravity,9.801654,-0.26776648,0.16209593
7363,android.sensor.game_rotation_vector,0.575021,-0.42714226,0.56239796,0.41304824
7413,android.sensor.gravity,9.757531,-0.07555856,-0.9773718
7466,android.sensor.gyroscope,-1.7210236,-2.5347595,0.6066284
7515,android.sensor.game_rotation_vector,0.6050327,-0.5329221,0.4526933,0.3807864
7569,android.sensor.gyroscope_uncalibrated,-0.2828827,-0.0068511963,0.038406372,0.025833135,0.014816284,-0.01966858
7626,android.sensor.accelerometer,5.6506042,-2.5061798,1.2653961
7678,android.sensor.linear_acceleration,4.317215,0.58612865,1.6262691
7730,android.sensor.game_rotation_vector,0.57507986,-0.54157805,0.47067532,0.3929899
7783,android.sensor.step_counter,3129.0
7836,android.sensor.gravity,9.633994,-0.25369,-1.8144411
7889,android.sensor.gyroscope,0.45484924,-0.43093872,0.11427307
7941,android.sensor.accelerometer,8.631653,-0.39646912,2.9758606
7995,android.sensor.game_rotation_vector,0.58605415,-0.50862646,0.49887553,0.38595706
8046,android.sensor.game_rotation_vector,0.5853721,-0.49616972,0.5187255,0.37693366
8100,android.sensor.gyroscope,0.1775055,0.94836426,0.2217865
8151,android.sensor.gyroscope,1.8842621,1.1609344,0.51257324
8202,android.sensor.accelerometer,11.577286,1.1887207,-3.2005768
8252,android.sensor.gyroscope_uncalibrated,0.36582947,0.5722351,0.051849365,0.025833135,0.014816284,-0.01966858
8306,android.sensor.magnetic_field,-58.940125,-13.122559,-15.126038
8362,android.sensor.gravity,9.751616,-0.9769554,0.34918523
8413,android.sensor.gyroscope,0.639328,-1.7552948,-0.43302917
8465,android.sensor.orientation,67.50339,147.20636,84.50608
8517,android.sensor.game_rotation_vector,0.6429393,-0.4667126,0.51330405,0.32454175
8569,android.sensor.gyroscope,-1.6538239,0.15545654,0.08618164
8622,android.sensor.game_rotation_vector,0.6416869,-0.5211228,0.45006785,0.33779857
8678,android.sensor.game_rotation_vector,0.6294786,-0.53151184,0.44362754,0.35276973
8731,android.sensor.geomagnetic_rotation_vector,0.7038408,-0.21023263,0.66103363,0.15311727,0.17453292
8792,android.sensor.magnetic_field,-61.328125,-16.192627,-6.776428
8847,android.sensor.accelerometer,13.352768,-5.4026337,-3.266632
8898,android.sensor.geomagnetic_rotation_vector,0.70703536,-0.32381177,0.5879576,0.22260453,0.17453292
8951,android.sensor.gyroscope,-0.47853088,-0.4187317,0.07395935
9000,android.sensor.game_rotation_vector,0.59860665,-0.510573,0.47157732,0.39824632
9057,android.sensor.gyroscope,-0.8242798,0.23487854,0.19490051
9106,android.sensor.accelerometer,5.895996,-1.1987457,2.6181488
9157,android.sensor.gyroscope,1.3027344,1.2562408,0.37573242
9209,android.sensor.gravity,9.738667,-0.37490088,-1.0900518
9261,android.sensor.magnetic_field,-58.088684,-16.021729,-13.623047
-9317,sound,89.74955512877797
9369,android.sensor.rotation_vector,0.64873534,-0.27124846,0.6639205,0.25451183,0.17453292
9425,android.sensor.gyroscope,-0.36247253,-1.3838806,-0.11416626
9472,android.sensor.game_rotation_vector,0.59863156,-0.45305175,0.5341054,0.3887361
9525,android.sensor.rotation_vector,0.7336821,-0.34666863,0.5389459,0.22598398,0.17453292
9576,android.sensor.gyroscope,-0.37467957,0.9361572,0.34640503
9631,android.sensor.magnetic_field,-62.18109,-11.929321,-6.27594
9682,android.sensor.accelerometer,9.308197,-0.7047119,-0.15924072
9732,android.sensor.gyroscope,1.3271637,-0.30511475,0.014099121
9788,android.sensor.gyroscope,-0.50419617,0.66493225,-0.32063293
9840,android.sensor.gravity,9.517698,-0.44702312,-2.320342
9892,android.sensor.rotation_vector,0.68941313,-0.35901895,0.5733004,0.25911692,0.17453292
9945,android.sensor.accelerometer,9.037979,-0.5368347,0.11781311
9998,android.sensor.magnetic_field,-61.499023,-12.611389,-7.611084
10049,android.sensor.gyroscope,-0.8963623,0.19578552,0.39526367
10101,android.sensor.gravity,9.539752,-1.1071291,-1.9843849
10151,android.sensor.gyroscope_uncalibrated,0.919281,0.7799225,0.19847107,0.025833135,0.014816284,-0.01966858
10202,android.sensor.gyroscope_uncalibrated,0.7604675,1.2392883,0.21923828,0.025833135,0.014816284,-0.01966858
10257,android.sensor.gyroscope,0.110321045,0.90071106,0.10939026
10311,android.sensor.linear_acceleration,4.6228476,5.3338804,-0.030056953
10361,android.sensor.gyroscope,0.7798157,0.014968872,-0.6187439
10411,android.sensor.gyroscope_uncalibrated,0.5674286,-1.4069519,-0.82533264,0.025833135,0.014816284,-0.01966858
10463,android.sensor.accelerometer,9.857803,-8.378769,0.5448303
10513,android.sensor.rotation_vector,0.7002217,-0.33583665,0.58328676,0.23807524,0.17453292
10568,android.sensor.gyroscope,-1.2714386,-0.15605164,0.49057007
10616,android.sensor.orientation,65.42038,166.7756,72.35438
10668,android.sensor.gyroscope,-0.8120575,0.18478394,0.03364563
10721,android.sensor.magnetic_field,-62.69226,-10.394287,-6.776428
10772,android.sensor.magnetic_field,-61.839294,-12.269592,-6.6101074
10826,android.sensor.gyroscope,-1.0209808,0.46089172,-0.50024414
10876,android.sensor.gravity,9.635377,-0.5668531,-1.7345251
10928,android.sensor.rotation_vector,0.67301667,-0.33051184,0.60888743,0.25897217,0.17453292
10979,android.sensor.geomagnetic_rotation_vector,0.69075626,-0.29983234,0.6294353,0.19174859,0.17453292
11030,android.sensor.geomagnetic_rotation_vector,0.68854094,-0.25547573,0.6593491,0.16094196,0.17453292
11082,android.sensor.gyroscope,0.4108734,0.13348389,0.3708496
11134,android.sensor.gravity,9.670183,-1.1829591,-1.1218492
11186,android.sensor.gravity,9.700306,-1.3107387,-0.59699696
11237,android.sensor.gyroscope,0.3387909,0.7748871,0.29632568
11288,android.sensor.gyroscope,-0.065597534,0.93859863,0.036087036
11344,android.sensor.rotation_vector,0.6043464,-0.31649414,0.69159067,0.23727456,0.17453292
11396,android.sensor.geomagnetic_rotation_vector,0.6448371,-0.34718093,0.5985801,0.32458028,0.17453292
11447,android.sensor.magnetic_field,-58.940125,-11.418152,-11.11908
11500,android.sensor.gyroscope,-1.7540131,-2.820633,0.21322632
11550,android.sensor.gyroscope,-2.9965057,-0.9379425,0.5076752
11600,android.sensor.rotation_vector,0.68224865,-0.41385555,0.5383908,0.27091634,0.17453292
11651,android.sensor.gyroscope,-0.30015564,-0.49691772,0.11795044
11726,android.sensor.gyroscope,0.75172424,0.7369995,0.4502411
11777,android.sensor.gravity,9.52567,-0.91953737,-2.1416004
11838,android.sensor.game_rotation_vector,0.53678346,-0.57234645,0.46503478,0.40990937
11881,android.sensor.game_rotation_vector,0.5252321,-0.5642468,0.46614957,0.43412143
11933,android.sensor.geomagnetic_rotation_vector,0.6628067,-0.3672355,0.6015612,0.25288233,0.17453292
11987,android.sensor.gyroscope_uncalibrated,0.54422,-0.25608826,0.17402649,0.025833135,0.014816284,-0.01966858
12038,android.sensor.gyroscope,0.42796326,0.044296265,0.2914276
12089,android.sensor.linear_acceleration,-4.0198717,0.16593945,1.1882985
12141,android.sensor.rotation_vector,0.6472337,-0.39965546,0.59119207,0.2680595,0.17453292
12194,android.sensor.gyroscope,1.5030975,0.5354309,0.4502411
12243,android.sensor.rotation_vector,0.63664913,-0.37195057,0.6343292,0.23228677,0.17453292
12295,android.sensor.gyroscope,-0.22564697,0.69914246,0.040985107
12346,android.sensor.gyroscope_uncalibrated,-0.01411438,0.65774536,-0.29022217,0.025833135,0.014816284,-0.01966858
12400,android.sensor.accelerometer,10.596588,-1.3720703,1.0973358
12456,android.sensor.gyroscope,0.81526184,-1.7345276,-0.40859985
12503,android.sensor.magnetic_field_uncalibrated,-101.963806,-92.414856,-77.14996,-40.634766,-82.70264,-68.03589
12560,android.sensor.game_rotation_vector,0.5698215,-0.52907604,0.50182116,0.37888995
12613,android.sensor.rotation_vector,0.6788298,-0.41626406,0.5359128,0.28055632,0.17453292
12667,android.sensor.magnetic_field,-63.7146,-5.961609,-8.113098
12716,android.sensor.orientation,74.58688,167.21901,74.69817
12768,android.sensor.gyroscope,1.1915436,0.55007935,0.23890686
12821,android.sensor.gravity,9.524809,-0.77467734,-2.2018805
12873,android.sensor.geomagnetic_rotation_vector,0.6118165,-0.42513415,0.5310536,0.40363792,0.17453292
12925,android.sensor.gyroscope,0.5538025,0.052841187,-0.104385376
12979,android.sensor.linear_acceleration,1.0246477,-1.6983132,5.9309072
13033,android.sensor.accelerometer,7.9891663,0.59651184,1.2675781
13082,android.sensor.orientation,75.369965,156.11165,78.61121
13136,android.sensor.linear_acceleration,-4.02357,-1.5108399,1.3409373
13188,android.sensor.gravity,9.731814,-0.96066016,-0.7343758
